Date,Open,High,Low,Close,Volume,AdjustedClose
20210111,790.000,795.000,775.000,775.000,43020000,775.000
20210112,775.000,785.000,770.000,775.000,31945500,775.000
20210113,775.000,780.000,770.000,775.000,23972500,775.000
20210114,780.000,780.000,760.000,765.000,37162400,765.000
20210115,765.000,775.000,740.000,745.000,43844500,745.000
20210118,745.000,750.000,715.000,730.000,65891500,730.000
20210119,730.000,780.000,725.000,765.000,82271200,765.000
20210120,770.000,775.000,735.000,750.000,29548600,750.000
20210121,750.000,760.000,740.000,740.000,14157500,740.000
20210122,740.000,750.000,725.000,735.000,27684000,735.000
20210125,735.000,740.000,715.000,740.000,10432200,740.000
20210126,745.000,745.000,730.000,735.000,13426700,735.000
20210127,740.000,745.000,720.000,740.000,13062800,740.000
20210128,740.000,740.000,720.000,720.000,14213300,720.000
20210129,720.000,740.000,715.000,730.000,16438600,730.000
20210201,740.000,755.000,720.000,755.000,18581100,755.000
20210202,755.000,765.000,750.000,760.000,20895600,760.000
20210203,770.000,775.000,760.000,770.000,24346400,770.000
20210204,800.000,835.000,770.000,780.000,117367500,780.000
20210205,780.000,785.000,760.000,775.000,18068000,775.000
20210208,780.000,800.000,775.000,775.000,51925800,775.000
20210209,785.000,790.000,770.000,775.000,31819600,775.000
20210210,775.000,780.000,755.000,770.000,20563100,770.000
20210211,775.000,780.000,770.000,780.000,16374600,780.000
20210215,785.000,790.000,780.000,790.000,14583800,790.000
20210216,790.000,795.000,780.000,780.000,18750900,780.000
20210217,790.000,790.000,770.000,775.000,16713800,775.000
20210218,780.000,810.000,775.000,805.000,67794900,805.000
20210219,820.000,820.000,785.000,785.000,37932000,785.000
20210222,800.000,805.000,785.000,800.000,22399200,800.000
20210223,805.000,815.000,795.000,795.000,31399600,795.000
20210224,800.000,800.000,775.000,785.000,36453700,785.000
20210225,790.000,800.000,780.000,800.000,14582300,800.000
20210226,800.000,800.000,780.000,795.000,11682000,795.000
20210301,795.000,795.000,775.000,785.000,9442400,785.000
20210302,795.000,800.000,785.000,795.000,13032300,795.000
20210303,795.000,800.000,790.000,800.000,9049000,800.000
20210304,800.000,800.000,790.000,800.000,16473700,800.000
20210305,800.000,800.000,785.000,790.000,11457500,790.000
20210308,800.000,800.000,780.000,785.000,8946600,785.000
20210309,785.000,790.000,780.000,785.000,8091900,785.000
20210310,785.000,790.000,775.000,780.000,9340700,780.000
20210312,785.000,790.000,780.000,785.000,4740700,785.000
20210315,785.000,795.000,780.000,785.000,7408800,785.000
20210316,785.000,790.000,775.000,780.000,9572000,780.000
20210317,780.000,790.000,775.000,790.000,7313200,790.000
20210318,790.000,795.000,785.000,790.000,10342100,790.000
20210319,790.000,795.000,785.000,795.000,9702100,795.000
20210322,795.000,795.000,780.000,780.000,8445100,780.000
20210323,785.000,790.000,775.000,780.000,10854900,780.000
20210324,780.000,785.000,765.000,765.000,38065700,765.000
20210325,765.000,775.000,765.000,770.000,5149500,770.000
20210326,770.000,780.000,770.000,780.000,6419500,780.000
20210329,780.000,785.000,775.000,780.000,5970200,780.000
20210330,785.000,785.000,770.000,785.000,7669600,785.000
20210331,785.000,785.000,765.000,785.000,13374500,785.000
20210401,785.000,785.000,775.000,780.000,6270700,780.000
20210405,785.000,790.000,775.000,790.000,9192000,790.000
20210406,790.000,795.000,780.000,790.000,22271400,790.000
20210407,790.000,790.000,780.000,780.000,14318200,780.000
20210408,785.000,795.000,780.000,785.000,16127600,785.000
20210409,785.000,790.000,785.000,790.000,19673800,790.000
20210412,790.000,790.000,765.000,770.000,21912400,770.000
20210413,775.000,780.000,755.000,760.000,5937700,760.000
20210414,770.000,775.000,760.000,770.000,12270000,770.000
20210415,775.000,785.000,765.000,785.000,21195100,785.000
20210416,785.000,785.000,775.000,785.000,16297100,785.000
20210419,790.000,800.000,780.000,800.000,22871600,800.000
20210420,795.000,800.000,785.000,785.000,11761800,785.000
20210421,780.000,795.000,780.000,785.000,9503300,785.000
20210422,790.000,795.000,785.000,795.000,11956700,795.000
20210423,820.000,820.000,790.000,800.000,8818900,800.000
20210426,800.000,805.000,795.000,800.000,19519900,800.000
20210427,810.000,810.000,795.000,805.000,11519300,805.000
20210428,805.000,815.000,805.000,815.000,17918700,815.000
20210429,810.000,815.000,800.000,805.000,21382300,805.000
20210430,805.000,810.000,795.000,795.000,9461700,795.000
20210503,800.000,800.000,780.000,785.000,10267100,785.000
20210504,785.000,790.000,775.000,775.000,9702500,775.000
20210505,780.000,790.000,775.000,780.000,7077200,780.000
20210506,780.000,785.000,775.000,775.000,3936600,775.000
20210507,780.000,785.000,770.000,775.000,6084000,775.000
20210510,775.000,780.000,770.000,775.000,7111300,775.000
20210511,775.000,780.000,770.000,775.000,3987600,775.000
20210517,775.000,780.000,765.000,770.000,7050000,770.000
20210518,780.000,780.000,765.000,780.000,7454400,780.000
20210519,780.000,780.000,765.000,765.000,4545300,765.000
20210520,765.000,775.000,765.000,770.000,4279700,770.000
20210521,770.000,775.000,765.000,765.000,3790500,765.000
20210524,770.000,775.000,765.000,770.000,4558800,770.000
20210525,770.000,775.000,765.000,770.000,9448100,770.000
20210527,770.000,775.000,765.000,770.000,9990900,770.000
20210528,770.000,775.000,765.000,765.000,4986300,765.000
20210531,770.000,775.000,765.000,775.000,7485100,775.000
20210602,775.000,785.000,770.000,780.000,4480800,780.000
20210603,780.000,785.000,775.000,775.000,7033400,775.000
20210604,775.000,780.000,775.000,775.000,5791600,775.000
20210607,775.000,780.000,770.000,780.000,6088900,780.000
20210608,780.000,780.000,770.000,770.000,5356100,770.000
20210609,775.000,775.000,765.000,765.000,3422100,765.000
20210610,765.000,775.000,760.000,775.000,9257600,775.000
20210611,775.000,775.000,770.000,775.000,2464900,775.000
20210614,775.000,775.000,765.000,770.000,2663900,770.000
20210615,770.000,770.000,760.000,765.000,5026300,765.000
20210616,765.000,770.000,760.000,760.000,4181500,760.000
20210617,760.000,765.000,750.000,755.000,7254500,755.000
20210618,755.000,755.000,730.000,745.000,20363000,745.000
20210621,745.000,750.000,720.000,730.000,20899900,730.000
20210622,735.000,745.000,730.000,735.000,9553800,735.000
20210623,735.000,745.000,730.000,730.000,11601100,730.000
20210624,730.000,740.000,730.000,740.000,7808800,740.000
20210625,740.000,745.000,725.000,730.000,7446600,730.000
20210628,730.000,735.000,715.000,720.000,13702200,720.000
20210629,720.000,730.000,715.000,720.000,7539400,720.000
20210630,720.000,725.000,710.000,710.000,14066800,710.000
20210701,710.000,760.000,705.000,750.000,12331800,750.000
20210702,750.000,760.000,740.000,750.000,4718400,750.000
20210705,750.000,760.000,740.000,750.000,5186200,750.000
20210706,750.000,760.000,740.000,760.000,7143300,760.000
20210707,760.000,765.000,750.000,755.000,2795600,755.000
20210708,760.000,760.000,750.000,750.000,8910800,750.000
20210709,750.000,755.000,740.000,750.000,5833000,750.000
20210712,750.000,760.000,750.000,760.000,3491400,760.000
20210713,760.000,765.000,750.000,760.000,8905300,760.000
20210714,760.000,765.000,750.000,760.000,3380900,760.000
20210715,760.000,765.000,750.000,765.000,6065900,765.000
20210716,765.000,770.000,760.000,765.000,3960600,765.000
20210719,765.000,770.000,755.000,760.000,4857000,760.000
20210721,760.000,765.000,750.000,760.000,3291100,760.000
20210722,765.000,765.000,755.000,760.000,2432300,760.000
20210723,765.000,765.000,755.000,760.000,1923000,760.000
20210726,765.000,765.000,750.000,755.000,6288300,755.000
20210727,755.000,775.000,750.000,765.000,12002600,765.000
20210728,770.000,815.000,765.000,810.000,57918700,810.000
20210729,820.000,820.000,795.000,800.000,23694200,800.000
20210730,805.000,810.000,760.000,805.000,9842300,805.000
20210802,805.000,815.000,800.000,800.000,9227900,800.000
20210803,800.000,810.000,800.000,800.000,11259800,800.000
20210804,810.000,810.000,800.000,805.000,6856900,805.000
20210805,805.000,805.000,795.000,800.000,10212800,800.000
20210806,800.000,810.000,790.000,795.000,4557800,795.000
20210809,805.000,810.000,805.000,810.000,11609100,810.000
20210810,810.000,815.000,790.000,800.000,10041500,800.000
20210812,800.000,805.000,795.000,800.000,15863700,800.000
20210813,800.000,810.000,800.000,805.000,6690800,805.000
20210816,800.000,800.000,790.000,800.000,5370600,800.000
20210818,800.000,800.000,790.000,790.000,4463200,790.000
20210819,790.000,805.000,790.000,790.000,9973200,790.000
20210820,795.000,800.000,790.000,795.000,1442000,795.000
20210823,795.000,800.000,780.000,800.000,9202700,800.000
20210824,800.000,800.000,790.000,795.000,6906100,795.000
20210825,795.000,800.000,790.000,800.000,2885700,800.000
20210826,790.000,800.000,790.000,790.000,1697100,790.000
20210827,795.000,800.000,790.000,800.000,5759600,800.000
20210830,800.000,805.000,790.000,800.000,4701700,800.000
20210831,800.000,800.000,790.000,795.000,9929300,795.000
20210901,800.000,800.000,790.000,795.000,3212200,795.000
20210902,795.000,800.000,785.000,795.000,4288200,795.000
20210903,795.000,800.000,790.000,790.000,3163100,790.000
20210906,795.000,795.000,780.000,785.000,9031200,785.000
20210907,785.000,790.000,780.000,780.000,7433300,780.000
20210908,780.000,790.000,780.000,780.000,6034400,780.000
20210909,780.000,790.000,775.000,790.000,9604500,790.000
20210910,790.000,795.000,785.000,785.000,5843900,785.000
20210913,785.000,790.000,780.000,790.000,2576200,790.000
20210914,795.000,795.000,785.000,790.000,5914400,790.000
20210915,790.000,795.000,785.000,790.000,3942100,790.000
20210916,800.000,800.000,785.000,785.000,5104600,785.000
20210917,785.000,790.000,780.000,790.000,3145000,790.000
20210920,790.000,790.000,785.000,790.000,4908200,790.000
20210921,790.000,795.000,785.000,795.000,3493800,795.000
20210922,795.000,795.000,785.000,795.000,4562900,795.000
20210923,790.000,795.000,785.000,795.000,7128600,795.000
20210924,795.000,800.000,785.000,795.000,2844900,795.000
20210927,790.000,795.000,780.000,795.000,11484100,795.000
20210928,795.000,795.000,785.000,795.000,8600200,795.000
20210929,790.000,795.000,775.000,775.000,12787300,775.000
20210930,775.000,780.000,770.000,770.000,9357700,770.000
20211001,770.000,775.000,770.000,770.000,5764400,770.000
20211004,775.000,775.000,770.000,770.000,5060300,770.000
20211005,770.000,775.000,760.000,760.000,10673200,760.000
20211006,760.000,770.000,755.000,755.000,13019100,755.000
20211007,760.000,770.000,755.000,770.000,10781400,770.000
20211008,770.000,775.000,760.000,775.000,10332300,775.000
20211011,775.000,780.000,765.000,775.000,4590800,775.000
20211012,775.000,775.000,765.000,775.000,8355100,775.000
20211013,775.000,775.000,765.000,775.000,6457300,775.000
20211014,775.000,775.000,765.000,775.000,8097900,775.000
20211015,775.000,780.000,765.000,775.000,5747200,775.000
20211018,775.000,800.000,770.000,795.000,24003100,795.000
20211019,795.000,900.000,795.000,860.000,186543800,860.000
20211021,860.000,880.000,840.000,840.000,48760900,840.000
20211022,840.000,860.000,825.000,830.000,25741900,830.000
20211025,830.000,850.000,830.000,840.000,13402400,840.000
